Nombre variable,Tipo de dato,Formato,Unidad de medida,Descripción,Indicación de obligarotiedad,Catálogo de referencia,Identificador de valures nulos,Ejemplo de dato
FECHANACIMIENTOMADRE,Fecha,mm/dd/aaaa,,Fecha de nacimiento de la madre,,,,11/9/1999
ENTIDADNACIMIENTO,Numérico entero,,,Clave de la entidad de nacimiento de la madre,,,,26
ENTIDADNACIMIENTOD,Texto,,,Nombre de la entidad de nacimiento de la madre,,,,SONORA
NACIOEXTRANJERO,Numérico entero,,,Indicador de si es extrangera,,,,2
NACIOEXTRANJEROD,Texto,,,Indicador textual de si es extrangera,,,,NO
MUNICIPIONACIMIENTO,Numérico entero,,,Clave del municipio donde nacio la madre,,,,55
MUNICIPIONACIMIENTOD,Texto,,,Nombre del municipio donde nacio la madre,,,,SAN LUIS RÍO COLORADO
EDAD,Numérico entero,,,Edad de la madre,,,,22
ESTADOCONYUGAL,Numérico entero,,,Indicador del estado conyugal de la madre,,,,1
ESTADOCONYUGALD,Texto,,,Indicador textual del estado conyugal de la madre,,,,SOLTERO(A)
SECONSIDERAINDIGENA,Numérico entero,,,Indicador de si la madre se considera indigena,,,,2
SECONSIDERAINDIGENAD,Texto,,,Indicador textual de si la madre se considera indigena,,,,NO
HABLALENGUAINDIGENA,Numérico entero,,,Indicador de si la madre habla lengua indigena,,,,2
HABLALENGUAINDIGENAD,Texto,,,Indicador textual de si la madre habla lengua indigena,,,,NO
ENTIDADRESIDENCIA,Numérico entero,,,Clave de la entidad donde recide la madre,,,,26
ENTIDADRESIDENCIAD,Texto,,,Nombre de la entidad donde recide la madre,,,,SONORA
RESIDEEXTRANJERO,Numérico entero,,,Indicador de si la madre es recidente en el extranjero,,,,2
RESIDEEXTRANJEROD,Texto,,,Indicador textual de si la madre es residente extranjera,,,,NO
MUNICIPIORESIDENCIA,Numérico entero,,,Clave del municipio donde recide la madre,,,,55
MUNICIPIORESIDENCIAD,Texto,,,Nombre del municipio donde recide la madre,,,,SAN LUIS RÍO COLORADO
LOCALIDADRESIDENCIA,Numérico entero,,,Clave del localidad donde recide la madre,,,,1
LOCALIDADRESIDENCIAD,Texto,,,Nombre del localidad donde recide la madre,,,,SAN LUIS RIO COLORADO
NUMEROEMBARAZOS,Numérico entero,,,Numero de embarazos totales que ha tenido la madre,,,,1
HIJOSNACIDOSMUERTOS,Numérico entero,,,Numero de hijos nacidos muertos,,,,0
