Nombre variable,Tipo de dato,Formato,Unidad de medida,Descripción,Indicación de obligarotiedad,Catálogo de referencia,Identificador de valures nulos,Ejemplo de dato
Unidad Académica,Texto,,,Nombre del Municipio donde se encuentra la Unidad Académica,,,,Hermosillo
Plan de Estudio,Numérico entero,,,Clave del plan de estudio,,,,14
Programa educativo,Texto,,,Nombre del programa educativo,,,,Ing. Ambiental
Tipo de programa académico,Texto,,,Tipo de programa educativo,,,,Licenciatura
Tipo de periodo,Texto,,,Tipo de periodo del programa educativo,,,,Semestral
Modalidad,Texto,,,Modalidad del programa educativo,,,,Escolarizado
Alumno,Numérico entero,,,Numero del alumno,,,,2
Inscrito ciclo  escolar actual,Alfanumérico,,,Pendiente de especificar,,,,222 (Reing)
Grupos asignaturas inscrito ciclo escolar actual,Alfanumérico,,,Conjunto de grupos a los cuales el alumno se inscribio,,,," AMB04C1-001, AMB06C1-001, FIN15C1-001, MAT29A2-004, SSO01C1-008, TER14C1-001"
Fecha inscripción ciclo escolar actual,Fecha,dd/mm/aaaa,,Fecha en la que el alumno se inscribio al ciclo escolar actual,,,,04/08/2022
Ciclo escolar actual motivo no inscrito,Texto,,,Pendiente de especificar,,,,
Inscritos ciclo escolar señalado,Alfanumérico,,,Pendiente de especificar,,,,222 (Reing)
Grupos asignaturas inscrito en ciclo escolar  señalado,Alfanumérico,,,Pendiente de especificar,,,," AMB04C1-001, AMB06C1-001, FIN15C1-001, MAT29A2-004, SSO01C1-008, TER14C1-001"
Fecha inscripción en ciclo escolar  señalado,Fecha,,,Pendiente de especificar,,,,04/08/2022
Clave de Formación Académica,Numérico entero,,,Clave de formacion academica,,,,07
Campo de Formación Académica,Texto,,,Campo al cual pertenece la formacion academica,,,,"Ingeniería, manufactura y construcción                                                                                                                                                                  "
Se realizo equivalencia en el ciclo actual,Texto,,,Pendiente de especificar,,,,
Nacionalidad,Texto,,,Nacionalidad del alumno,,,,          
Estado,Texto,,,Estado donde recide el alumno,,,,SONORA                         
Municipio,Texto,,,Municipio donde el alumno,,,,HERMOSILLO                                                                                          
Sexo ,Texto,,,Sexo del alumno,,,,Masculino
Edad,Numérico entero,,,Edad del alumno,,,,21
Discapacidad_Tipo,Texto,,,Tipo de discapacidad que posee el alumno de tenerla,,,,
Estado civil,Texto,,,Estado civil del alumno,,,,SOLTERO (A)
Estimulo Ciclo Actual,Texto,,,Pendiente de especificar,,,,
Grupo Indig.(Pertenece),Texto,,,Pendiente de especificar,,,,
Grupo Indig. (Habla),Texto,,,Pendiente de especificar,,,,
Grupo Indig. (Vive en Comunidad),Texto,,,Pendiente de especificar,,,,
Grupo Indig. (Padres),Texto,,,Pendiente de especificar,,,,
Lugar de nacimiento,Texto,,,Lugar de nacimiento del alumno,,,,CD. OBREGON                                                                                         
Bachillerato,Texto,,,Nombre de la institucion donde cursó el Bachillerato el alumno,,,,GRIMAC                                                                                                                                                          
 Promedio de bachillerato,Numérico flotante,,,Promedio final al salir del bachillerato,,,,0.00
Estado Bachillerato,Texto,,,Estado en el cual cursó el bachillerato,,,,SONORA                         
Ciudad Bachillerato,Texto,,,Ciudad en el cual cursó el bachillerato,,,,HUATABAMPO                                                                                          
Área Bachillerato,Texto,,,Pendiente de especificar,,,,                              
Egreso Bachillerato,Numérico entero,,,Año en el cual egreso del bachillerato,,,,
