municipio,año,mes,hombres,mujeres,total
1,2022,1,0,1,1
1,2022,3,1,1,2
1,2022,5,2,0,2
1,2022,6,0,1,1
1,2022,7,3,2,5
1,2022,8,1,0,1
1,2022,9,2,1,3
1,2022,10,0,2,2
1,2022,11,1,1,2
1,2022,12,1,1,2
2,2022,1,36,38,74
2,2022,2,26,33,59
2,2022,3,31,31,62
2,2022,4,18,26,44
2,2022,5,31,22,53
2,2022,6,24,20,44
2,2022,7,22,23,45
2,2022,8,19,16,35
2,2022,9,14,19,33
2,2022,10,11,25,36
2,2022,11,14,9,23
2,2022,12,20,18,38
3,2022,1,15,8,23
3,2022,2,11,8,19
3,2022,3,12,13,25
3,2022,4,10,12,22
3,2022,5,10,13,23
3,2022,6,8,11,19
3,2022,7,24,16,40
3,2022,8,11,17,28
3,2022,9,16,18,34
3,2022,10,10,12,22
3,2022,11,6,11,17
3,2022,12,10,10,21
4,2022,1,6,5,11
4,2022,2,4,4,8
4,2022,3,7,4,11
4,2022,4,4,2,6
4,2022,5,2,3,5
4,2022,6,5,3,8
4,2022,7,3,5,8
4,2022,8,6,4,10
4,2022,9,8,6,14
4,2022,10,8,5,13
4,2022,11,9,6,15
4,2022,12,4,6,10
5,2022,1,1,1,2
5,2022,2,1,1,2
5,2022,3,0,3,3
5,2022,4,2,0,2
5,2022,5,1,1,2
5,2022,6,1,1,2
5,2022,7,1,2,3
5,2022,8,1,1,2
5,2022,10,1,0,1
5,2022,11,3,0,3
5,2022,12,1,0,1
6,2022,1,1,1,2
6,2022,2,1,1,2
6,2022,3,1,0,1
6,2022,4,1,1,2
6,2022,6,0,1,1
6,2022,7,1,0,1
6,2022,8,2,1,3
6,2022,9,2,1,3
6,2022,10,1,2,3
6,2022,11,0,2,2
6,2022,12,0,1,1
8,2022,2,0,1,1
8,2022,3,0,1,1
8,2022,4,1,2,3
8,2022,6,1,0,1
8,2022,7,1,0,1
9,2022,6,0,1,1
9,2022,7,1,0,1
9,2022,8,1,2,3
9,2022,9,1,0,1
9,2022,10,1,0,1
10,2022,1,1,0,1
10,2022,2,1,0,1
10,2022,3,0,1,1
10,2022,4,0,3,3
10,2022,5,0,1,1
10,2022,6,2,1,3
10,2022,7,0,2,2
10,2022,8,0,2,2
10,2022,9,0,1,1
10,2022,10,1,0,1
10,2022,11,2,2,4
11,2022,2,2,0,2
11,2022,3,0,1,1
11,2022,4,1,0,1
11,2022,5,1,1,2
11,2022,7,0,1,1
11,2022,9,1,1,2
11,2022,10,1,4,5
11,2022,11,0,1,1
11,2022,12,0,1,1
12,2022,1,8,10,18
12,2022,2,8,14,22
12,2022,3,7,9,16
12,2022,4,12,7,19
12,2022,5,8,13,21
12,2022,6,14,14,28
12,2022,7,16,16,32
12,2022,8,5,13,18
12,2022,9,9,10,19
12,2022,10,15,7,22
12,2022,11,16,13,29
12,2022,12,13,9,22
13,2022,2,2,1,3
13,2022,4,0,1,1
13,2022,5,1,1,2
13,2022,6,1,1,2
13,2022,8,2,0,2
13,2022,9,2,1,3
13,2022,10,2,0,2
13,2022,12,1,2,3
14,2022,1,1,1,2
14,2022,2,0,1,1
14,2022,3,2,0,2
14,2022,4,1,2,3
14,2022,5,1,1,2
14,2022,6,4,0,4
14,2022,7,0,2,2
14,2022,9,3,2,5
14,2022,10,0,4,4
14,2022,11,2,3,5
14,2022,12,1,1,2
15,2022,1,1,2,3
15,2022,2,0,1,1
15,2022,3,1,0,1
15,2022,4,0,1,1
15,2022,6,2,0,2
15,2022,7,0,1,1
15,2022,8,1,0,1
15,2022,9,1,0,1
15,2022,10,0,2,2
15,2022,11,1,1,2
15,2022,12,1,0,1
16,2022,1,2,4,6
16,2022,2,0,1,1
16,2022,3,1,2,3
16,2022,4,2,3,5
16,2022,5,0,3,3
16,2022,6,4,2,6
16,2022,7,3,1,4
16,2022,8,6,0,6
16,2022,9,0,4,4
16,2022,10,0,3,3
16,2022,11,1,3,4
16,2022,12,2,2,4
17,2022,1,38,36,74
17,2022,2,32,30,62
17,2022,3,47,36,83
17,2022,4,35,28,63
17,2022,5,30,27,57
17,2022,6,24,31,55
17,2022,7,32,39,71
17,2022,8,39,41,80
17,2022,9,48,38,86
17,2022,10,35,27,62
17,2022,11,36,33,69
17,2022,12,27,32,59
18,2022,1,205,187,392
18,2022,2,173,199,372
18,2022,3,182,171,353
18,2022,4,163,146,309
18,2022,5,157,168,325
18,2022,6,172,168,340
18,2022,7,188,171,359
18,2022,8,225,212,437
18,2022,9,202,195,397
18,2022,10,229,197,427
18,2022,11,203,197,400
18,2022,12,207,194,401
19,2022,1,18,16,34
19,2022,2,19,17,36
19,2022,3,24,33,57
19,2022,4,26,16,42
19,2022,5,31,28,59
19,2022,6,16,21,37
19,2022,7,28,33,61
19,2022,8,24,24,48
19,2022,9,34,26,60
19,2022,10,18,22,40
19,2022,11,23,22,45
19,2022,12,21,25,46
20,2022,1,2,6,8
20,2022,2,3,5,8
20,2022,3,1,2,3
20,2022,4,3,1,4
20,2022,5,1,3,4
20,2022,6,1,2,3
20,2022,7,2,0,2
