municipio,a–o,mes,total,hombres,mujeres
1,2024,1,1,1,0
1,2024,2,1,1,0
1,2024,3,5,3,2
1,2024,5,2,0,2
1,2024,9,2,0,2
1,2024,10,3,1,2
1,2024,11,1,1,0
1,2024,12,1,1,0
2,2024,1,41,18,23
2,2024,2,30,10,20
2,2024,3,32,15,17
2,2024,4,34,19,15
2,2024,5,25,10,15
2,2024,6,42,19,23
2,2024,7,41,24,17
2,2024,8,52,35,17
2,2024,9,50,28,22
2,2024,10,54,28,26
2,2024,11,37,16,21
2,2024,12,39,19,20
3,2024,1,17,8,9
3,2024,2,17,8,9
3,2024,3,19,10,9
3,2024,4,12,4,8
3,2024,5,21,12,9
3,2024,6,13,6,7
3,2024,7,15,6,9
3,2024,8,22,11,11
3,2024,9,16,7,9
3,2024,10,21,10,11
3,2024,11,16,6,10
3,2024,12,20,8,12
4,2024,1,11,6,5
4,2024,2,9,3,6
4,2024,3,15,8,7
4,2024,4,7,5,2
4,2024,5,9,5,4
4,2024,6,6,0,6
4,2024,7,4,3,1
4,2024,8,8,5,3
4,2024,9,13,6,7
4,2024,10,7,4,3
4,2024,11,8,5,3
4,2024,12,12,6,6
5,2024,12,2,2,0
6,2024,1,4,4,0
6,2024,4,1,0,1
6,2024,5,1,0,1
6,2024,6,1,0,1
6,2024,8,2,1,1
6,2024,9,1,1,0
6,2024,10,1,1,0
6,2024,11,2,1,1
6,2024,12,5,1,4
8,2024,3,1,0,1
9,2024,1,1,1,0
9,2024,6,1,1,0
10,2024,1,2,1,1
10,2024,2,1,0,1
10,2024,3,1,0,1
10,2024,4,3,2,1
10,2024,6,2,2,0
10,2024,7,3,1,2
10,2024,9,2,1,1
10,2024,11,3,1,2
10,2024,12,1,1,0
11,2024,1,3,2,1
11,2024,3,1,1,0
11,2024,4,1,1,0
11,2024,5,2,2,0
11,2024,8,2,1,1
11,2024,10,2,2,0
11,2024,11,1,0,1
12,2024,1,10,6,4
12,2024,2,12,5,7
12,2024,3,18,7,11
12,2024,4,13,4,9
12,2024,5,14,7,7
12,2024,6,19,7,12
12,2024,7,15,10,5
12,2024,8,18,8,10
12,2024,9,26,19,7
12,2024,10,12,6,6
12,2024,11,17,6,11
12,2024,12,15,8,7
13,2024,2,1,0,1
13,2024,3,2,2,0
13,2024,4,2,1,1
13,2024,5,2,1,1
13,2024,6,2,0,2
13,2024,7,3,0,3
13,2024,8,5,1,4
13,2024,9,3,1,2
13,2024,10,2,1,1
13,2024,11,3,0,3
13,2024,12,1,0,1
14,2024,1,3,1,2
14,2024,2,1,1,0
14,2024,3,2,2,0
14,2024,4,2,1,1
14,2024,5,2,1,1
14,2024,6,2,0,2
14,2024,7,1,1,0
14,2024,8,4,2,2
14,2024,9,3,1,2
14,2024,10,4,3,1
14,2024,11,2,1,1
14,2024,12,1,1,0
15,2024,1,3,1,2
15,2024,2,2,1,1
15,2024,4,1,0,1
15,2024,6,1,1,0
15,2024,7,2,1,1
15,2024,8,1,0,1
15,2024,9,2,1,1
15,2024,10,1,1,0
16,2024,1,4,4,0
16,2024,2,3,2,1
16,2024,3,1,0,1
16,2024,4,4,3,1
16,2024,5,5,1,4
16,2024,6,7,3,4
16,2024,7,2,1,1
16,2024,8,4,3,1
16,2024,9,3,0,3
16,2024,10,6,2,4
16,2024,11,4,2,2
16,2024,12,6,3,3
17,2024,1,71,32,39
17,2024,2,77,36,41
17,2024,3,55,27,28
17,2024,4,58,27,31
17,2024,5,44,29,15
17,2024,6,49,24,25
17,2024,7,52,29,23
17,2024,8,74,33,41
17,2024,9,65,38,27
17,2024,10,65,32,33
17,2024,11,53,29,24
17,2024,12,60,34,26
18,2024,1,390,193,197
18,2024,2,360,191,169
18,2024,3,342,177,165
18,2024,4,293,142,151
18,2024,5,251,122,129
18,2024,6,299,156,143
18,2024,7,364,181,183
18,2024,8,378,188,190
18,2024,9,436,230,206
18,2024,10,397,203,194
18,2024,11,352,173,179
18,2024,12,382,188,194
19,2024,1,42,19,23
19,2024,2,32,14,18
19,2024,3,40,19,21
19,2024,4,37,20,17
19,2024,5,39,23,16
19,2024,6,47,28,19
19,2024,7,39,21,18
19,2024,8,48,20,28
19,2024,9,46,25,21
19,2024,10,51,28,23
19,2024,11,44,22,22
19,2024,12,35,16,19
20,2024,1,4,1,3
20,2024,2,1,0,1
20,2024,3,5,3,2
20,2024,4,3,2,1
20,2024,5,3,2,1
20,2024,6,6,4,2
20,2024,7,8,2,6
20,2024,8,3,2,1
20,2024,9,4,1,3
20,2024,10,4,3,1
20,2024,11,1,1,0
20,2024,12,2,2,0
21,2024,1,3,3,0
21,2024,2,5,3,2
21,2024,3,1,0,1
21,2024,4,1,1,0
21,2024,5,5,3,2
21,2024,7,4,3,1
21,2024,8,2,2,0
21,2024,9,6,2,4
21,2024,10,4,2,2
21,2024,11,2,1,1
21,2024,12,4,1,3
22,2024,1,1,0,1
22,2024,2,1,0,1
22,2024,4,1,1,0
22,2024,8,2,1,1
22,2024,9,1,0,1
22,2024,12,1,0,1
23,2024,1,3,2,1
23,2024,2,5,4,1
23,2024,3,1,0,1
23,2024,4,4,3,1
23,2024,5,2,1,1
23,2024,6,6,4,2
23,2024,7,3,0,3
23,2024,8,7,2,5
23,2024,10,4,2,2
23,2024,11,4,2,2
23,2024,12,4,2,2
24,2024,1,2,1,1
24,2024,2,2,2,0
24,2024,6,2,0,2
24,2024,7,1,1,0
24,2024,8,1,0,1
24,2024,9,2,0,2
25,2024,1,57,29,28
25,2024,2,42,21,21
25,2024,3,46,32,14
25,2024,4,36,16,20
25,2024,5,36,18,18
25,2024,6,45,20,25
25,2024,7,42,25,17
25,2024,8,60,31,29
25,2024,9,52,29,23
25,2024,10,67,28,39
25,2024,11,43,17,26
25,2024,12,60,36,24
26,2024,1,70,38,32
26,2024,2,61,31,30
26,2024,3,43,27,16
26,2024,4,44,25,19
26,2024,5,34,20,14
26,2024,6,32,21,11
26,2024,7,60,25,35
26,2024,8,66,36,30
26,2024,9,55,26,29
