Nombre variable,Tipo de dato,Formato,Unidad de medida,Descripción,Indicación de obligarotiedad,Catálogo de referencia,Identificador de valures nulos,Ejemplo de dato
FECHANACIMIENTO,Fecha,,,Fecha de nacimiento del difunto,,,,9/26/1956
SEXO,Numerico Entero Binario,,,Identificador del sexo del difunto,,,,1
SEXOD,Texto,,,Sexo del difunto,,,,HOMBRE
ENTIDADNACIMIENTO,Numerico entero,,,Identificador de entidad de nacimiento del difunto,,,,14
ENTIDADNACIMIENTOD,Texto,,,Entidad de nacimiento del difunto,,,,JALISCO
SE_RECONOCIA_AFROMEXICANO,Numerico entero,,,Identificador por si se reconoce como afroamericano,,,,8
SE_RECONOCIA_AFROMEXICANOD,Texto,,,Identificador textual por si se reconoce como afroamericano,,,,NO APLICA
SE_CONSIDERA_INDIGENA,Numerico entero,,,Identificador por si se considera Indigena,,,,8
SE_CONSIDERA_INDIGENAD,Texto,,,Identificador textual por si se identifica Indigena,,,,NO APLICA
HABLALENGUAINDIGENA,Numerico entero,,,Identificador de si habla Indigena,,,,2
HABLALENGUAINDIGENAD,Texto,,,Identificador textual de si habla Indigena,,,,NO
NACIONALIDAD,Numerico entero,,,Identificador de nacionalidad del difunto,,,,1
NACIONALIDADD,Texto,,,Nombre de la nacionalidad del difunto,,,,MEXICANA
EDAD,Numerico entero,,,Edad del difunto,,,,65
CLAVEEDAD,Numerico entero,,,Clave de edad,,,,5
CLAVEEDADD,Texto,,,Unidad de edad,,,,AÑOS
EDADGESTACIONAL,Numerico entero,,,Pendiente de especificar,,,,
PESO,Numerico entero,,,Peso del difunto,,,,
ESTADOCONYUGAL,Numerico entero,,,Identificador de estado conyugal del difunto,,,,5
ESTADOCONYUGALD,Texto,,,Identificador textual de estado conyugal del difunto,,,,CASADO(A)
RESIDEEXTRANJERO,Texto,,,Identificador de si es extrangero,,,,NO
ENTIDADRESIDENCIA,Numerico entero,,,Clave de Entidad donde recidia el difunto,,,,26
ENTIDADRESIDENCIAD,texto,,,Nombre de la entidad donde recidia el difunto,,,,SONORA
MUNICIPIORESIDENCIA,Numerico entero,,,Clave del Municipio donde recidia el difunto,,,,55
MUNICIPIORESIDENCIAD,Texto,,,Nombre del Municipio donde recidia el difunto,,,,SAN LUIS RÍO COLORADO
LOCALIDADRESIDENCIA,Numerico entero,,,Clave de la localidad donde recidia el difunto,,,,1
LOCALIDADRESIDENCIAD,Texto,,,Nombre de la localidad donde recidia el difunto,,,,SAN LUIS RIO COLORADO
