path,status,rows,cols,missing_cols_count,avg_pct_missing_per_col,read_encoding
datasets_sonora_xlsx/Matriculas/Matriculas Enero - Abril 2024.xlsx,OK,2852.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Enero - Abril 2022.xlsx,OK,2446.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Mayo - Agosto 2023.xlsx,OK,2045.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Enero - Abril 2023.xlsx,OK,2823.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Diccionario.xlsx,OK,11.0,9.0,4,0.4343,
datasets_sonora_xlsx/Matriculas/Catalogo.xlsx,OK,10.0,2.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Septiembre - Diciembre 2024.xlsx,OK,3654.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Mayo - Agosto 2022.xlsx,OK,1788.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Septiembre - Diciembre 2023.xlsx,OK,3396.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Enero - Abril 2025.xlsx,OK,3177.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Mayo - Agosto 2025.xlsx,OK,2416.0,11.0,0,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Septiembre - Diciembre 2022.xlsx,OK,3391.0,11.0,1,0.0,
datasets_sonora_xlsx/Matriculas/Matriculas Mayo - Agosto 2024.xlsx,OK,2138.0,11.0,0,0.0,
datasets_sonora_xlsx/Matrículas/Matriculas Ciclo 2021 - 2022.xlsx,OK,2410.0,9.0,0,0.0,
datasets_sonora_xlsx/Matrículas de Estudiantes/Matriculas - 2022 - 2.xlsx,OK,15212.0,70.0,28,0.277,
datasets_sonora_xlsx/Índice de marginación por municipio/Diccionario.xlsx,OK,18.0,9.0,3,0.1482,
datasets_sonora_xlsx/Índice de marginación por municipio/Catalogo.xlsx,OK,32.0,2.0,0,0.0,
datasets_sonora_xlsx/Índice de marginación por municipio/Indice de marginación por municipio 2020.xlsx,OK,72.0,18.0,0,0.0,
datasets_sonora_xlsx/Mejora Regulatoria para el Entorno Digital de la Administración Pública Estatal/Mejora Regulatoria.xlsx,OK,13.0,16.0,4,0.1971,
datasets_sonora_xlsx/Mejora Regulatoria para el Entorno Digital de la Administración Pública Estatal/Diccionario.xlsx,OK,40.0,9.0,4,0.2556,
datasets_sonora_xlsx/Planeación TIC en la Administración Pública Estatal/Diccionario.xlsx,OK,12.0,9.0,3,0.25,
datasets_sonora_xlsx/Planeación TIC en la Administración Pública Estatal/Planeación TIC.xlsx,OK,14.0,12.0,5,0.2083,
datasets_sonora_xlsx/Ganadería Sonora/Ganadería Sonora año 2016.xlsx,OK,290.0,14.0,0,0.0,
